dataset,domain,image,img_w,img_h,x,y,w,h,cls,area_px,rel_area_pct,rel_w,rel_h,aspect_w_over_h,degenerate,out_of_frame
beluga_seeker_sam,satellite,21SEP07162703-P3DS_R06C2-014413001050_01_P001_24_5.png,320,320,137.0,69.0,12.0,7.0,1,84.0,0.08203,0.0375,0.02187,1.7143,0,0
beluga_seeker_sam,satellite,21SEP07162703-P3DS_R07C1-014413001050_01_P001_14_15.png,320,320,167.0,311.0,6.0,6.0,1,36.0,0.03516,0.01875,0.01875,1.0,0,0
beluga_seeker_sam,satellite,21SEP07162703-P3DS_R07C1-014413001050_01_P001_14_15.png,320,320,137.0,306.0,4.0,7.0,1,28.0,0.02734,0.0125,0.02187,0.5714,0,0
beluga_seeker_sam,satellite,21SEP07162703-P3DS_R07C1-014413001050_01_P001_14_15.png,320,320,125.0,303.0,4.0,6.0,1,24.0,0.02344,0.0125,0.01875,0.6667,0,0
beluga_seeker_sam,satellite,21SEP07162703-P3DS_R07C1-014413001050_01_P001_14_15.png,320,320,116.0,306.0,4.0,6.0,1,24.0,0.02344,0.0125,0.01875,0.6667,0,0
beluga_seeker_sam,satellite,21SEP07162703-P3DS_R07C1-014413001050_01_P001_14_15.png,320,320,80.0,295.0,5.0,6.0,1,30.0,0.0293,0.01562,0.01875,0.8333,0,0
beluga_seeker_sam,satellite,21SEP07162703-P3DS_R07C1-014413001050_01_P001_14_15.png,320,320,103.0,295.0,4.0,7.0,1,28.0,0.02734,0.0125,0.02187,0.5714,0,0
beluga_seeker_sam,satellite,21SEP07162703-P3DS_R07C1-014413001050_01_P001_14_15.png,320,320,108.0,294.0,5.0,7.0,1,35.0,0.03418,0.01562,0.02187,0.7143,0,0
beluga_seeker_sam,satellite,21SEP07162703-P3DS_R07C1-014413001050_01_P001_14_15.png,320,320,113.0,294.0,6.0,6.0,1,36.0,0.03516,0.01875,0.01875,1.0,0,0
beluga_seeker_sam,satellite,21SEP07162703-P3DS_R07C1-014413001050_01_P001_14_15.png,320,320,120.0,294.0,4.0,7.0,1,28.0,0.02734,0.0125,0.02187,0.5714,0,0
beluga_seeker_sam,satellite,21SEP07162703-P3DS_R07C1-014413001050_01_P001_14_15.png,320,320,129.0,296.0,4.0,6.0,1,24.0,0.02344,0.0125,0.01875,0.6667,0,0
beluga_seeker_sam,satellite,21SEP07162703-P3DS_R07C1-014413001050_01_P001_14_15.png,320,320,140.0,268.0,5.0,5.0,1,25.0,0.02441,0.01562,0.01562,1.0,0,0
beluga_seeker_sam,satellite,21SEP07162703-P3DS_R07C1-014413001050_01_P001_14_15.png,320,320,133.0,268.0,5.0,5.0,1,25.0,0.02441,0.01562,0.01562,1.0,0,0
