dataset,domain,image,width,height,mode,n_objects,has_label_file,n_degenerate,n_out_of_frame,on_disk
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0006.JPG,8688,5792,,2,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0007.JPG,8688,5792,,1,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0008.JPG,8688,5792,,47,1,0,1,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0009.JPG,8688,5792,,40,1,0,1,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0010.JPG,8688,5792,,158,1,0,3,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0011.JPG,8688,5792,,128,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0012.JPG,8688,5792,,79,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0013.JPG,8688,5792,,83,1,0,2,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0014.JPG,8688,5792,,96,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0015.JPG,8688,5792,,64,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0016.JPG,8688,5792,,150,1,0,1,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0017.JPG,8688,5792,,65,1,0,3,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0018.JPG,8688,5792,,71,1,0,1,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0019.JPG,8688,5792,,44,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0021.JPG,8688,5792,,13,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0022.JPG,8688,5792,,1,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0023.JPG,8688,5792,,1,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0024.JPG,8688,5792,,7,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0027.JPG,8688,5792,,62,1,0,1,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0028.JPG,8688,5792,,16,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0029.JPG,8688,5792,,17,1,0,2,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0036.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0037.JPG,8688,5792,,1,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0039.JPG,8688,5792,,2,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0042.JPG,8688,5792,,42,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0043.JPG,8688,5792,,8,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0051.JPG,8688,5792,,24,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0052.JPG,8688,5792,,27,1,0,1,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0067.JPG,8688,5792,,4,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0083.JPG,8688,5792,,16,1,0,1,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0084.JPG,8688,5792,,11,1,0,1,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0133.JPG,8688,5792,,5,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0136.JPG,8688,5792,,5,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0137.JPG,8688,5792,,45,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0138.JPG,8688,5792,,33,1,0,2,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0139.JPG,8688,5792,,106,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0140.JPG,8688,5792,,141,1,0,1,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0141.JPG,8688,5792,,31,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0146.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0147.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0148.JPG,8688,5792,,1,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0158.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0191.JPG,8688,5792,,2,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0204.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0236.JPG,8688,5792,,2,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0286.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0306.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0309.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0310.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0316.JPG,8688,5792,,1,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0318.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0334.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0338.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0364.JPG,8688,5792,,2,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0377.JPG,8688,5792,,9,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0379.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0380.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0393.JPG,8688,5792,,1,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0394.JPG,8688,5792,,1,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0406.JPG,8688,5792,,12,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0407.JPG,8688,5792,,20,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0408.JPG,8688,5792,,25,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0409.JPG,8688,5792,,193,1,0,1,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0410.JPG,8688,5792,,140,1,0,2,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0423.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0464.JPG,8688,5792,,2,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0469.JPG,8688,5792,,6,1,0,1,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0471.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0482.JPG,8688,5792,,1,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0488.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0489.JPG,8688,5792,,1,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0491.JPG,8688,5792,,1,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0495.JPG,8688,5792,,2,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0500.JPG,8688,5792,,1,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0505.JPG,8688,5792,,4,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0506.JPG,8688,5792,,30,1,0,1,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0508.JPG,8688,5792,,2,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0509.JPG,8688,5792,,17,1,0,2,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0510.JPG,8688,5792,,241,1,0,2,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0511.JPG,8688,5792,,35,1,0,1,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0512.JPG,8688,5792,,2,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0518.JPG,8688,5792,,33,1,0,1,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0519.JPG,8688,5792,,77,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0520.JPG,8688,5792,,51,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0548.JPG,8688,5792,,8,1,0,1,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0549.JPG,8688,5792,,51,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0557.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0567.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0579.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0596.JPG,8688,5792,,3,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0597.JPG,8688,5792,,6,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0617.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0632.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0639.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0652.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0657.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0658.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0691.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0692.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0699.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0717.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0721.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0733.JPG,8688,5792,,78,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0734.JPG,8688,5792,,9,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0766.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0771.JPG,8688,5792,,180,1,0,4,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0772.JPG,8688,5792,,294,1,0,3,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0773.JPG,8688,5792,,190,1,0,2,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0789.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0793.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0794.JPG,8688,5792,,0,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0796.JPG,8688,5792,,1,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0797.JPG,8688,5792,,2,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0799.JPG,8688,5792,,2,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0802.JPG,8688,5792,,13,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0803.JPG,8688,5792,,21,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0804.JPG,8688,5792,,51,1,0,1,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0806.JPG,8688,5792,,14,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0807.JPG,8688,5792,,14,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0843.JPG,8688,5792,,73,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0844.JPG,8688,5792,,26,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0846.JPG,8688,5792,,5,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0847.JPG,8688,5792,,25,1,0,1,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0848.JPG,8688,5792,,16,1,0,0,0
izembek_lagoon_birds,aerien_non_marin,<absent>images/2017_Replicate_2017-09-30_Cam1_293A0849.JPG,8688,5792,,6,1,0,2,0
