dataset,domain,image,img_w,img_h,x,y,w,h,cls,area_px,rel_area_pct,rel_w,rel_h,aspect_w_over_h,degenerate,out_of_frame
noaa_arctic_seals_full_rgb,aerien,<absent>Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_000310.667291_rgb.jpg,6576,4384,3403.0,418.0,68.0,56.0,1,3808.0,0.01321,0.01034,0.01277,1.2143,0,0
noaa_arctic_seals_full_rgb,aerien,<absent>Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_000311.417294_rgb.jpg,6576,4384,3114.0,3484.0,62.0,50.0,1,3100.0,0.01075,0.00943,0.01141,1.24,0,0
noaa_arctic_seals_full_rgb,aerien,<absent>Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_000503.166834_rgb.jpg,6576,4384,1635.0,1703.0,61.0,39.0,1,2379.0,0.00825,0.00928,0.0089,1.5641,0,0
noaa_arctic_seals_full_rgb,aerien,<absent>Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_000503.166834_rgb.jpg,6576,4384,1596.0,1796.0,57.0,73.0,1,4161.0,0.01443,0.00867,0.01665,0.7808,0,0
noaa_arctic_seals_full_rgb,aerien,<absent>Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_000529.416720_rgb.jpg,6576,4384,3136.0,3682.0,74.0,64.0,1,4736.0,0.01643,0.01125,0.0146,1.1562,0,0
noaa_arctic_seals_full_rgb,aerien,<absent>Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_000529.416720_rgb.jpg,6576,4384,3276.0,3695.0,69.0,61.0,1,4209.0,0.0146,0.01049,0.01391,1.1311,0,0
noaa_arctic_seals_full_rgb,aerien,<absent>Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_000539.916845_rgb.jpg,6576,4384,115.0,3170.0,42.0,90.0,1,3780.0,0.01311,0.00639,0.02053,0.4667,0,0
noaa_arctic_seals_full_rgb,aerien,<absent>Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_000539.916845_rgb.jpg,6576,4384,40.0,3167.0,61.0,65.0,1,3965.0,0.01375,0.00928,0.01483,0.9385,0,0
noaa_arctic_seals_full_rgb,aerien,<absent>Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_000539.916845_rgb.jpg,6576,4384,39.0,3122.0,60.0,40.0,1,2400.0,0.00832,0.00912,0.00912,1.5,0,0
noaa_arctic_seals_full_rgb,aerien,<absent>Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_001059.415327_rgb.jpg,6576,4384,1110.0,2753.0,39.0,50.0,1,1950.0,0.00676,0.00593,0.01141,0.78,0,0
noaa_arctic_seals_full_rgb,aerien,<absent>Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_001900.913477_rgb.jpg,6576,4384,2487.0,565.0,37.0,50.0,1,1850.0,0.00642,0.00563,0.01141,0.74,0,0
noaa_arctic_seals_full_rgb,aerien,<absent>Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_001900.913477_rgb.jpg,6576,4384,2459.0,536.0,37.0,67.0,1,2479.0,0.0086,0.00563,0.01528,0.5522,0,0
noaa_arctic_seals_full_rgb,aerien,<absent>Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_001901.663301_rgb.jpg,6576,4384,2347.0,3210.0,47.0,75.0,1,3525.0,0.01223,0.00715,0.01711,0.6267,0,0
