dataset,domain,image,img_w,img_h,x,y,w,h,cls,area_px,rel_area_pct,rel_w,rel_h,aspect_w_over_h,degenerate,out_of_frame
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_000443.666902_rgb.jpg,6576,4384,6114.0,2360.0,66.0,53.0,1,3498.0,0.01213,0.01004,0.01209,1.2453,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002139.162658_rgb.jpg,6576,4384,3112.0,2038.0,35.0,61.0,1,2135.0,0.00741,0.00532,0.01391,0.5738,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002139.162658_rgb.jpg,6576,4384,3080.0,2052.0,46.0,23.0,1,1058.0,0.00367,0.007,0.00525,2.0,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002457.911799_rgb.jpg,6576,4384,5751.0,3681.0,92.0,38.0,1,3496.0,0.01213,0.01399,0.00867,2.4211,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002654.161325_rgb.jpg,6576,4384,1832.0,1736.0,25.0,59.0,1,1475.0,0.00512,0.0038,0.01346,0.4237,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002654.161325_rgb.jpg,6576,4384,3527.0,1852.0,41.0,42.0,1,1722.0,0.00597,0.00623,0.00958,0.9762,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002654.161325_rgb.jpg,6576,4384,3727.0,1759.0,30.0,51.0,1,1530.0,0.00531,0.00456,0.01163,0.5882,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002654.161325_rgb.jpg,6576,4384,3658.0,2049.0,40.0,35.0,1,1400.0,0.00486,0.00608,0.00798,1.1429,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002654.161325_rgb.jpg,6576,4384,3692.0,1968.0,31.0,24.0,1,744.0,0.00258,0.00471,0.00547,1.2917,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002654.911412_rgb.jpg,6576,4384,1219.0,2034.0,24.0,49.0,1,1176.0,0.00408,0.00365,0.01118,0.4898,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002654.911412_rgb.jpg,6576,4384,1222.0,2004.0,60.0,35.0,1,2100.0,0.00728,0.00912,0.00798,1.7143,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002654.911412_rgb.jpg,6576,4384,1283.0,2095.0,31.0,42.0,1,1302.0,0.00452,0.00471,0.00958,0.7381,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002810.661041_rgb.jpg,6576,4384,2533.0,3604.0,61.0,31.0,1,1891.0,0.00656,0.00928,0.00707,1.9677,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002810.661041_rgb.jpg,6576,4384,2493.0,3588.0,42.0,50.0,1,2100.0,0.00728,0.00639,0.01141,0.84,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002810.661041_rgb.jpg,6576,4384,2499.0,3624.0,27.0,49.0,1,1323.0,0.00459,0.00411,0.01118,0.551,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002916.660846_rgb.jpg,6576,4384,2901.0,1451.0,80.0,44.0,1,3520.0,0.01221,0.01217,0.01004,1.8182,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002916.660846_rgb.jpg,6576,4384,2885.0,1309.0,23.0,38.0,1,874.0,0.00303,0.0035,0.00867,0.6053,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003000.160741_rgb.jpg,6576,4384,6429.0,169.0,72.0,50.0,1,3600.0,0.01249,0.01095,0.01141,1.44,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003000.160741_rgb.jpg,6576,4384,6383.0,302.0,29.0,59.0,1,1711.0,0.00593,0.00441,0.01346,0.4915,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003000.910548_rgb.jpg,6576,4384,1761.0,2800.0,46.0,52.0,1,2392.0,0.0083,0.007,0.01186,0.8846,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003000.910548_rgb.jpg,6576,4384,4466.0,2862.0,52.0,49.0,1,2548.0,0.00884,0.00791,0.01118,1.0612,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003000.910548_rgb.jpg,6576,4384,4791.0,3359.0,29.0,63.0,1,1827.0,0.00634,0.00441,0.01437,0.4603,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003000.910548_rgb.jpg,6576,4384,4836.0,3235.0,66.0,47.0,1,3102.0,0.01076,0.01004,0.01072,1.4043,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003000.910548_rgb.jpg,6576,4384,5077.0,3629.0,40.0,59.0,1,2360.0,0.00819,0.00608,0.01346,0.678,0,0
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003058.660313_rgb.jpg,6576,4384,2487.0,106.0,45.0,33.0,1,1485.0,0.00515,0.00684,0.00753,1.3636,0,0
