dataset,domain,image,width,height,mode,n_objects,has_label_file,n_degenerate,n_out_of_frame,on_disk
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_000443.666902_rgb.jpg,6576,4384,RGB,1,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002139.162658_rgb.jpg,6576,4384,RGB,2,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002457.911799_rgb.jpg,6576,4384,RGB,1,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002654.161325_rgb.jpg,6576,4384,RGB,5,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002654.911412_rgb.jpg,6576,4384,RGB,3,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002810.661041_rgb.jpg,6576,4384,RGB,3,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002916.660846_rgb.jpg,6576,4384,RGB,2,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003000.160741_rgb.jpg,6576,4384,RGB,2,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003000.910548_rgb.jpg,6576,4384,RGB,5,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003005.410529_rgb.jpg,6576,4384,RGB,0,0,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003058.660313_rgb.jpg,6576,4384,RGB,1,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003212.160034_rgb.jpg,6576,4384,RGB,1,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003244.409876_rgb.jpg,6576,4384,RGB,1,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003401.659580_rgb.jpg,6576,4384,RGB,1,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003517.409398_rgb.jpg,6576,4384,RGB,1,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003558.409223_rgb.jpg,6576,4384,RGB,2,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003601.409222_rgb.jpg,6576,4384,RGB,4,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003618.909108_rgb.jpg,6576,4384,RGB,1,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003658.908987_rgb.jpg,6576,4384,RGB,1,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_003942.408325_rgb.jpg,6576,4384,RGB,1,1,0,0,1
noaa_arctic_seals_sample,aerien,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_004006.408226_rgb.jpg,6576,4384,RGB,5,1,0,0,1
