dataset,domain,image,width,height,mode,n_objects,has_label_file,n_degenerate,n_out_of_frame,on_disk
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_10_33.59.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_10_80.4.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_11_33.79.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_11_80.6.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_12_33.99.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_12_80.8.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_13_34.19.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_13_81.0.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_14_34.39.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_14_81.2.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_15_34.59.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_15_81.4.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_16_34.79.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_16_81.6.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_17_34.99.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_17_81.8.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_18_35.19.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_18_82.0.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_19_35.39.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_19_82.2.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_1_31.79.jpg,1920,1080,,1,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_1_78.6.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_20_35.59.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_20_82.4.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_21_35.79.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_21_82.6.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_22_35.99.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_22_82.8.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_23_36.19.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_23_83.0.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_24_36.39.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_24_83.2.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_25_36.59.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_25_83.4.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_2_31.99.jpg,1920,1080,,1,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_2_78.8.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_3_32.19.jpg,1920,1080,,1,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_3_79.0.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_4_32.39.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_4_79.2.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_5_32.59.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_5_79.4.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_6_32.79.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_6_79.6.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_7_32.99.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_7_79.8.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_8_33.19.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_8_80.0.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_9_33.39.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_154_6_16_2018_9_80.2.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_10_51.79.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_11_51.99.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_12_52.19.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_13_52.39.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_14_52.59.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_15_52.79.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_16_52.99.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_17_53.19.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_18_53.39.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_19_53.59.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_1_49.99.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_20_53.79.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_21_53.99.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_22_54.19.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_23_54.39.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_24_54.59.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_25_54.79.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_2_50.19.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_3_50.39.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_4_50.59.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_5_50.79.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_6_50.99.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_7_51.19.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_8_51.39.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_156_6_16_2018_9_51.59.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_158_6_16_2018_10_23.17.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_158_6_16_2018_10_41.61.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_158_6_16_2018_10_5.26.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_158_6_16_2018_11_23.37.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_158_6_16_2018_11_41.81.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_158_6_16_2018_11_5.46.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_158_6_16_2018_12_23.57.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_158_6_16_2018_12_42.01.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_158_6_16_2018_12_5.66.jpg,1920,1080,,0,1,0,0,0
noaa_estuary_fish,sous-marin,<absent>SD10_158_6_16_2018_13_23.77.jpg,1920,1080,,0,1,0,0,0
