dataset,domain,image,img_w,img_h,x,y,w,h,cls,area_px,rel_area_pct,rel_w,rel_h,aspect_w_over_h,degenerate,out_of_frame
noaa_right_whale_heads,aerien,<absent>../imgs/whale_00195/w_2753.jpg,,,1434.77,857.7,561.26,577.07,1,323886.31,,,,0.9726,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_00195/w_2954.jpg,,,1349.47,649.62,649.62,542.47,1,352399.36,,,,1.1975,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_00195/w_3733.jpg,,,1985.3,1853.89,1173.35,910.52,1,1068358.64,,,,1.2887,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_00195/w_3736.jpg,,,1122.52,1173.9,620.55,719.36,1,446398.85,,,,0.8626,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_00195/w_5270.jpg,,,2308.28,1474.3,703.55,889.32,1,625681.09,,,,0.7911,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_00195/w_5555.jpg,,,2479.84,1644.35,878.76,742.29,1,652294.76,,,,1.1838,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_00195/w_6326.jpg,,,1441.85,806.82,418.75,309.84,1,129745.5,,,,1.3515,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_00195/w_676.jpg,,,1754.93,288.54,501.97,537.55,1,269833.97,,,,0.9338,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_00195/w_6929.jpg,,,1486.16,1391.29,1130.43,849.8,1,960639.41,,,,1.3302,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_00195/w_7864.jpg,,,1381.28,751.75,436.99,318.11,1,139010.89,,,,1.3737,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_00195/w_821.jpg,,,1561.35,832.52,433.03,497.07,1,215246.22,,,,0.8712,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_00195/w_8913.jpg,,,1254.49,803.19,532.81,550.7,1,293418.47,,,,0.9675,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_00195/w_9186.jpg,,,1454.54,660.07,521.74,525.69,1,274273.5,,,,0.9925,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_00195/w_9206.jpg,,,1314.15,746.25,474.03,464.64,1,220253.3,,,,1.0202,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_00442/w_7552.jpg,,,1896.13,1248.44,802.57,675.85,1,542416.93,,,,1.1875,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_00442/w_9183.jpg,,,1634.28,1129.7,667.17,717.62,1,478774.54,,,,0.9297,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_00442/w_9472.jpg,,,1517.78,905.13,940.7,818.18,1,769661.93,,,,1.1497,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_02411/w_1781.jpg,,,1224.94,805.53,372.81,389.45,1,145190.85,,,,0.9573,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_02411/w_2577.jpg,,,1624.49,968.37,537.55,379.44,1,203967.97,,,,1.4167,0,0
noaa_right_whale_heads,aerien,<absent>../imgs/whale_02411/w_3535.jpg,,,2806.64,1483.11,741.55,891.74,1,661269.8,,,,0.8316,0,0
