dataset,domain,image,img_w,img_h,x,y,w,h,cls,area_px,rel_area_pct,rel_w,rel_h,aspect_w_over_h,degenerate,out_of_frame
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_01_05.png,684,521,553.55,232.23,63.0,131.0,1,8253.0,2.31589,0.09211,0.25144,0.4809,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_04_06.png,684,521,304.41,213.44,70.97,67.89,1,4818.15,1.35203,0.10376,0.13031,1.0454,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_04_06.png,684,521,207.2,318.0,81.6,41.0,1,3345.6,0.93882,0.1193,0.07869,1.9902,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_04_06.png,684,521,182.22,356.73,42.8,76.33,1,3266.92,0.91674,0.06257,0.14651,0.5607,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_04_06.png,684,521,256.6,366.47,60.8,76.0,1,4620.8,1.29665,0.08889,0.14587,0.8,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_04_07.png,684,521,495.64,64.22,122.0,68.77,1,8389.94,2.35432,0.17836,0.132,1.774,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_04_07.png,684,521,272.05,192.03,122.0,84.0,1,10248.0,2.87571,0.17836,0.16123,1.4524,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_04_08.png,684,521,291.49,49.0,118.0,65.82,1,7766.76,2.17945,0.17251,0.12633,1.7928,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_04_08.png,684,521,2.92,103.73,117.05,57.0,1,6671.85,1.8722,0.17113,0.1094,2.0535,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_05_05.png,684,521,377.64,127.73,89.11,70.48,1,6280.47,1.76238,0.13028,0.13528,1.2643,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_05_05.png,684,521,420.9,275.82,40.95,81.0,1,3316.95,0.93078,0.05987,0.15547,0.5056,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_05_05.png,684,521,386.81,-5.0,79.0,34.0,1,2686.0,0.75372,0.1155,0.06526,2.3235,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_05_05.png,684,521,625.26,160.66,67.11,54.6,1,3664.21,1.02822,0.09811,0.1048,1.2291,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_05_06.png,684,521,15.31,409.91,85.5,47.95,1,4099.73,1.15043,0.125,0.09203,1.7831,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_05_06.png,684,521,392.41,432.4,62.07,54.73,1,3397.09,0.95326,0.09075,0.10505,1.1341,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_05_06.png,684,521,565.5,279.0,41.0,50.26,1,2060.66,0.57825,0.05994,0.09647,0.8158,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_05_06.png,684,521,432.91,325.0,74.0,80.8,1,5979.2,1.67784,0.10819,0.15509,0.9158,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_05_06.png,684,521,457.45,226.4,67.2,77.6,1,5214.72,1.46331,0.09825,0.14894,0.866,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_05_06.png,684,521,336.75,239.4,88.0,54.4,1,4787.2,1.34335,0.12865,0.10441,1.6176,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_05_06.png,684,521,510.51,124.0,78.4,69.0,1,5409.6,1.518,0.11462,0.13244,1.1362,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_05_06.png,684,521,331.71,20.73,76.33,60.54,1,4621.02,1.29671,0.11159,0.1162,1.2608,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_05_07.png,684,521,36.81,347.0,72.0,72.0,1,5184.0,1.45469,0.10526,0.1382,1.0,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_05_07.png,684,521,518.28,451.5,74.5,81.57,1,6076.96,1.70527,0.10892,0.15656,0.9133,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_04.png,684,521,611.84,439.41,47.37,54.52,1,2582.61,0.72471,0.06925,0.10464,0.8689,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_04.png,684,521,561.7,474.87,33.58,49.78,1,1671.61,0.46907,0.04909,0.09555,0.6746,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_05.png,684,521,458.28,75.72,52.67,33.5,1,1764.45,0.49512,0.077,0.0643,1.5722,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_05.png,684,521,275.81,130.8,56.0,44.0,1,2464.0,0.69143,0.08187,0.08445,1.2727,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_05.png,684,521,372.75,147.02,48.0,38.0,1,1824.0,0.51184,0.07018,0.07294,1.2632,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_05.png,684,521,572.3,276.54,50.0,43.33,1,2166.5,0.60795,0.0731,0.08317,1.1539,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_05.png,684,521,650.56,264.06,40.2,57.27,1,2302.25,0.64604,0.05877,0.10992,0.7019,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_05.png,684,521,107.82,396.0,64.09,44.0,1,2819.96,0.79131,0.0937,0.08445,1.4566,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_05.png,684,521,518.31,23.2,47.12,39.82,1,1876.32,0.52652,0.06889,0.07643,1.1833,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_05.png,684,521,217.82,325.47,48.0,39.0,1,1872.0,0.52531,0.07018,0.07486,1.2308,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_05.png,684,521,83.75,335.0,43.45,47.95,1,2083.43,0.58463,0.06352,0.09203,0.9062,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_06.png,684,521,583.82,180.5,80.76,70.86,1,5722.65,1.60585,0.11807,0.13601,1.1397,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_06.png,684,521,323.06,-2.5,89.97,44.5,1,4003.66,1.12348,0.13154,0.08541,2.0218,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_06.png,684,521,188.31,318.67,73.0,42.52,1,3103.96,0.87101,0.10673,0.08161,1.7168,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_06.png,684,521,95.31,326.0,71.5,63.0,1,4504.5,1.26402,0.10453,0.12092,1.1349,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_06.png,684,521,235.31,401.15,70.0,73.0,1,5110.0,1.43393,0.10234,0.14012,0.9589,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_07.png,684,521,204.81,134.5,96.14,51.24,1,4926.21,1.38235,0.14056,0.09835,1.8763,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_07.png,684,521,36.03,184.26,88.76,53.47,1,4746.0,1.33178,0.12977,0.10263,1.66,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_07.png,684,521,113.4,335.82,79.0,67.0,1,5293.0,1.48528,0.1155,0.1286,1.1791,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_07.png,684,521,337.71,116.1,98.5,79.0,1,7781.5,2.18358,0.14401,0.15163,1.2468,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_07.png,684,521,-11.03,386.58,50.84,97.33,1,4948.26,1.38854,0.07433,0.18681,0.5223,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_08.png,684,521,25.21,120.0,75.36,116.0,1,8741.76,2.45304,0.11018,0.22265,0.6497,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_08.png,684,521,525.31,16.1,56.84,91.17,1,5182.1,1.45416,0.0831,0.17499,0.6235,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_08.png,684,521,606.53,-8.0,46.75,56.4,1,2636.7,0.73989,0.06835,0.10825,0.8289,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_07_04.png,684,521,607.99,112.6,51.0,42.5,1,2167.5,0.60823,0.07456,0.08157,1.2,0,0
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_07_04.png,684,521,575.39,155.89,36.83,56.3,1,2073.53,0.58186,0.05385,0.10806,0.6542,0,0
