dataset,domain,image,width,height,mode,n_objects,has_label_file,n_degenerate,n_out_of_frame,on_disk
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_01_05.png,684,521,RGB,1,1,0,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_04_06.png,684,521,RGB,4,1,0,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_04_07.png,684,521,RGB,2,1,0,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_04_08.png,684,521,RGB,2,1,0,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_05_05.png,684,521,RGB,4,1,0,2,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_05_06.png,684,521,RGB,8,1,0,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_05_07.png,684,521,RGB,2,1,0,1,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_04.png,684,521,RGB,2,1,0,1,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_05.png,684,521,RGB,9,1,0,1,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_06.png,684,521,RGB,5,1,0,1,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_07.png,684,521,RGB,5,1,0,1,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_06_08.png,684,521,RGB,3,1,0,1,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_07_04.png,684,521,RGB,7,1,0,1,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_07_05.png,684,521,RGB,10,1,0,2,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_07_06.png,684,521,RGB,1,1,0,1,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_07_07.png,684,521,RGB,7,1,0,1,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_1_07_08.png,684,521,RGB,5,1,0,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_01_02.png,684,521,RGB,0,0,0,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_01_03.png,684,521,RGB,0,0,0,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_01_04.png,684,521,RGB,2,1,0,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_01_05.png,684,521,RGB,9,1,0,3,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_01_06.png,684,521,RGB,12,1,0,1,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_01_07.png,684,521,RGB,15,1,0,2,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_01_08.png,684,521,RGB,21,1,0,1,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_02_03.png,684,521,RGB,2,1,0,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_02_04.png,684,521,RGB,7,1,0,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_02_05.png,684,521,RGB,19,1,0,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_02_06.png,684,521,RGB,11,1,0,2,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_02_07.png,684,521,RGB,19,1,0,3,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_02_08.png,684,521,RGB,27,1,0,7,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_03_03.png,684,521,RGB,4,1,0,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_03_04.png,684,521,RGB,9,1,0,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_03_05.png,684,521,RGB,10,1,0,0,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_03_06.png,684,521,RGB,15,1,0,2,1
uas_waterfowl_crowd,aerien_non_marin,BDA_12C_20181127_2_03_07.png,684,521,RGB,22,1,0,3,1
