dataset,domain,image,img_w,img_h,x,y,w,h,cls,area_px,rel_area_pct,rel_w,rel_h,aspect_w_over_h,degenerate,out_of_frame
uas_waterfowl_experts,aerien_non_marin,BDA_12C_20181127_1.jpg,5472,3648,4445.5,2719.5,95.0,80.5,1,7647.5,0.03831,0.01736,0.02207,1.1801,0,0
uas_waterfowl_experts,aerien_non_marin,BDA_12C_20181127_1.jpg,5472,3648,4312.5,2739.5,98.0,44.0,1,4312.0,0.0216,0.01791,0.01206,2.2273,0,0
uas_waterfowl_experts,aerien_non_marin,BDA_12C_20181127_1.jpg,5472,3648,3725.5,1779.0,73.5,70.5,1,5181.75,0.02596,0.01343,0.01933,1.0426,0,0
uas_waterfowl_experts,aerien_non_marin,BDA_12C_20181127_1.jpg,5472,3648,3628.0,1882.0,92.0,38.0,1,3496.0,0.01751,0.01681,0.01042,2.4211,0,0
uas_waterfowl_experts,aerien_non_marin,BDA_12C_20181127_1.jpg,5472,3648,3679.0,1929.0,65.0,82.0,1,5330.0,0.0267,0.01188,0.02248,0.7927,0,0
uas_waterfowl_experts,aerien_non_marin,BDA_12C_20181127_1.jpg,5472,3648,3604.0,1920.0,40.0,80.0,1,3200.0,0.01603,0.00731,0.02193,0.5,0,0
uas_waterfowl_experts,aerien_non_marin,BDA_12C_20181127_1.jpg,5472,3648,3754.0,2096.5,78.5,66.0,1,5181.0,0.02595,0.01435,0.01809,1.1894,0,0
uas_waterfowl_experts,aerien_non_marin,BDA_12C_20181127_1.jpg,5472,3648,3922.0,2208.0,91.5,71.5,1,6542.25,0.03277,0.01672,0.0196,1.2797,0,0
uas_waterfowl_experts,aerien_non_marin,BDA_12C_20181127_1.jpg,5472,3648,3851.5,2405.5,74.5,84.0,1,6258.0,0.03135,0.01361,0.02303,0.8869,0,0
uas_waterfowl_experts,aerien_non_marin,BDA_12C_20181127_1.jpg,5472,3648,3753.0,2321.5,100.0,58.0,1,5800.0,0.02906,0.01827,0.0159,1.7241,0,0
uas_waterfowl_experts,aerien_non_marin,BDA_12C_20181127_1.jpg,5472,3648,3879.0,2309.0,64.5,82.0,1,5289.0,0.0265,0.01179,0.02248,0.7866,0,0
uas_waterfowl_experts,aerien_non_marin,BDA_12C_20181127_1.jpg,5472,3648,3745.5,2594.5,85.5,55.5,1,4745.25,0.02377,0.01562,0.01521,1.5405,0,0
