dataset,domain,image,img_w,img_h,x,y,w,h,cls,area_px,rel_area_pct,rel_w,rel_h,aspect_w_over_h,degenerate,out_of_frame
whales_from_space_sample,satellite,test/PelagosIm3_FW_WV3_PS_20160619_B5.PNG,128,128,6.0,20.0,66.0,56.0,0,3696.0,22.55859,0.51562,0.4375,1.1786,0,0
whales_from_space_sample,satellite,test/PelagosIm3_FW_WV3_PS_20160619_B5_noisy.PNG,128,128,6.0,20.0,66.0,56.0,0,3696.0,22.55859,0.51562,0.4375,1.1786,0,0
whales_from_space_sample,satellite,test/Valdes_SRW_WV3_PS_20141016_B9.PNG,128,129,43.0,43.0,49.0,47.0,0,2303.0,13.94743,0.38281,0.36434,1.0426,0,0
whales_from_space_sample,satellite,test/Valdes_SRW_WV3_PS_20141016_B9_noisy.PNG,128,129,43.0,43.0,49.0,47.0,0,2303.0,13.94743,0.38281,0.36434,1.0426,0,0
whales_from_space_sample,satellite,train/7.png,144,145,58.0,55.38,19.0,46.32,0,880.07,4.21487,0.13194,0.31944,0.4102,0,0
whales_from_space_sample,satellite,train/74.png,144,145,57.0,49.34,33.0,45.31,0,1495.31,7.16147,0.22917,0.3125,0.7283,0,0
whales_from_space_sample,satellite,train/Maui_HB_WV3_PS_20150109_B10.PNG,129,129,50.0,48.0,23.0,33.0,0,759.0,4.56102,0.17829,0.25581,0.697,0,0
whales_from_space_sample,satellite,train/Maui_HB_WV3_PS_20150109_B10_noisy.PNG,129,129,50.0,48.0,23.0,33.0,0,759.0,4.56102,0.17829,0.25581,0.697,0,0
whales_from_space_sample,satellite,train/Maui_HB_WV3_PS_20150109_B10_noisy_adjust.PNG,129,129,50.0,48.0,23.0,33.0,0,759.0,4.56102,0.17829,0.25581,0.697,0,0
whales_from_space_sample,satellite,train/Maui_HB_WV3_PS_20150109_B10_noisy_adjust_c.PNG,129,129,50.0,48.0,23.0,33.0,0,759.0,4.56102,0.17829,0.25581,0.697,0,0
whales_from_space_sample,satellite,train/Valdes_SRW_WV2_PS_20160923_B3.PNG,135,135,54.0,59.0,30.0,24.0,0,720.0,3.95062,0.22222,0.17778,1.25,0,0
whales_from_space_sample,satellite,train/Valdes_SRW_WV2_PS_20160923_B3_noisy.PNG,135,135,54.0,59.0,30.0,24.0,0,720.0,3.95062,0.22222,0.17778,1.25,0,0
whales_from_space_sample,satellite,train/Valdes_SRW_WV2_PS_20160923_B3_noisy_adjust.PNG,135,135,54.0,59.0,30.0,24.0,0,720.0,3.95062,0.22222,0.17778,1.25,0,0
whales_from_space_sample,satellite,train/Valdes_SRW_WV2_PS_20160923_B3_noisy_adjust_c.PNG,135,135,54.0,59.0,30.0,24.0,0,720.0,3.95062,0.22222,0.17778,1.25,0,0
whales_from_space_sample,satellite,train/Witsand_SRW_GE1_PS_20090809_B82.PNG,128,128,55.0,50.0,20.0,33.0,0,660.0,4.02832,0.15625,0.25781,0.6061,0,0
whales_from_space_sample,satellite,train/Witsand_SRW_GE1_PS_20090809_B82_noisy.PNG,128,128,55.0,50.0,20.0,33.0,0,660.0,4.02832,0.15625,0.25781,0.6061,0,0
whales_from_space_sample,satellite,train/Witsand_SRW_GE1_PS_20090809_B82_noisy_adjust.PNG,128,128,55.0,50.0,20.0,33.0,0,660.0,4.02832,0.15625,0.25781,0.6061,0,0
whales_from_space_sample,satellite,train/Witsand_SRW_GE1_PS_20090809_B82_noisy_adjust_c.PNG,128,128,55.0,50.0,20.0,33.0,0,660.0,4.02832,0.15625,0.25781,0.6061,0,0
whales_from_space_sample,satellite,val/Ignacio_GW_WV3_PS_20170220_B16.PNG,128,128,49.0,43.0,34.0,44.0,0,1496.0,9.13086,0.26562,0.34375,0.7727,0,0
whales_from_space_sample,satellite,val/Ignacio_GW_WV3_PS_20170220_B16_noisy.PNG,128,128,49.0,43.0,34.0,44.0,0,1496.0,9.13086,0.26562,0.34375,0.7727,0,0
