dataset,domain,image,width,height,mode,n_objects,has_label_file,n_degenerate,n_out_of_frame,on_disk
whales_from_space_sample,satellite,test/PelagosIm3_FW_WV3_PS_20160619_B5.PNG,128,128,L,1,1,0,0,1
whales_from_space_sample,satellite,test/PelagosIm3_FW_WV3_PS_20160619_B5_noisy.PNG,128,128,L,1,1,0,0,1
whales_from_space_sample,satellite,test/Valdes_SRW_WV3_PS_20141016_B9.PNG,128,129,L,1,1,0,0,1
whales_from_space_sample,satellite,test/Valdes_SRW_WV3_PS_20141016_B9_noisy.PNG,128,129,L,1,1,0,0,1
whales_from_space_sample,satellite,train/7.png,144,145,L,1,1,0,0,1
whales_from_space_sample,satellite,train/74.png,144,145,L,1,1,0,0,1
whales_from_space_sample,satellite,train/Maui_HB_WV3_PS_20150109_B10.PNG,129,129,L,1,1,0,0,1
whales_from_space_sample,satellite,train/Maui_HB_WV3_PS_20150109_B10_noisy.PNG,129,129,L,1,1,0,0,1
whales_from_space_sample,satellite,train/Maui_HB_WV3_PS_20150109_B10_noisy_adjust.PNG,129,129,L,1,1,0,0,1
whales_from_space_sample,satellite,train/Maui_HB_WV3_PS_20150109_B10_noisy_adjust_c.PNG,129,129,L,1,1,0,0,1
whales_from_space_sample,satellite,train/Valdes_SRW_WV2_PS_20160923_B3.PNG,135,135,L,1,1,0,0,1
whales_from_space_sample,satellite,train/Valdes_SRW_WV2_PS_20160923_B3_noisy.PNG,135,135,L,1,1,0,0,1
whales_from_space_sample,satellite,train/Valdes_SRW_WV2_PS_20160923_B3_noisy_adjust.PNG,135,135,L,1,1,0,0,1
whales_from_space_sample,satellite,train/Valdes_SRW_WV2_PS_20160923_B3_noisy_adjust_c.PNG,135,135,L,1,1,0,0,1
whales_from_space_sample,satellite,train/Witsand_SRW_GE1_PS_20090809_B82.PNG,128,128,L,1,1,0,0,1
whales_from_space_sample,satellite,train/Witsand_SRW_GE1_PS_20090809_B82_noisy.PNG,128,128,L,1,1,0,0,1
whales_from_space_sample,satellite,train/Witsand_SRW_GE1_PS_20090809_B82_noisy_adjust.PNG,128,128,L,1,1,0,0,1
whales_from_space_sample,satellite,train/Witsand_SRW_GE1_PS_20090809_B82_noisy_adjust_c.PNG,128,128,L,1,1,0,0,1
whales_from_space_sample,satellite,val/Ignacio_GW_WV3_PS_20170220_B16.PNG,128,128,L,1,1,0,0,1
whales_from_space_sample,satellite,val/Ignacio_GW_WV3_PS_20170220_B16_noisy.PNG,128,128,L,1,1,0,0,1
