dataset,domain,n_images,n_images_annotated,n_boxes,pct_images_empty,rel_area_pct_p5,rel_area_pct_p25,rel_area_pct_p50,rel_area_pct_p75,rel_area_pct_p95,rel_area_pct_mean,rel_area_pct_n,rel_side_pct_p5,rel_side_pct_p25,rel_side_pct_p50,rel_side_pct_p75,rel_side_pct_p95,rel_side_pct_mean,rel_side_pct_n,side_px_p5,side_px_p25,side_px_p50,side_px_p75,side_px_p95,side_px_mean,side_px_n,obj_per_img_p5,obj_per_img_p25,obj_per_img_p50,obj_per_img_p75,obj_per_img_p95,obj_per_img_mean,obj_per_img_n,aspect_p5,aspect_p25,aspect_p50,aspect_p75,aspect_p95,aspect_mean,aspect_n,aspect_frac_elongated_>2,coco_small_pct,coco_large_pct
beluga_seeker_sam,satellite,4,538,1622,0.0,0.02344,0.03516,0.06445,0.09494,0.13965,0.06940868064118373,1622,1.531012736720371,1.8750999973334754,2.5387004549572203,3.081233519225701,3.736977388210959,2.5302705353704398,1622,4.47213595499958,5.477225575051661,7.483314773547883,9.38083151964686,11.489125293076057,7.636019786310827,1622,1.0,1.0,1.0,2.0,11.149999999999977,3.0148698884758365,538,0.5556,0.7548,1.0,1.2222,1.75,1.036522441430333,1622,3.76078914919852,100.0,0.0
community_fish_detection,sous-marin,1903035,1903035,935049,64.76454715756672,0.10732950000000001,1.198445,10.665915,28.9013,58.728649999999995,17.706426541949998,200000,3.2761181295694373,10.947351269173904,32.658712466958534,53.759929314732204,76.63462011380403,34.287983472397556,200000,32.45142523660914,95.07925641273141,417.02462757012324,760.7745313165244,1091.2809388504297,455.9523204376042,200000,0.0,0.0,0.0,1.0,2.0,0.4913461917410873,1903035,0.7618800000000003,1.4323,2.06,2.6483,3.4412,2.087359426,200000,53.9755,4.89,74.87
izembek_lagoon_birds,aerien_non_marin,9267,9267,521270,46.19617999352541,0.00039,0.00096,0.00258,0.00287,0.00421,0.002191152732274603,199925,0.197484176581315,0.30983866769659335,0.5079370039680118,0.535723809439155,0.6488451279003333,0.4383998106356148,199925,14.0,22.0,36.0,38.0,46.0,31.092039514818058,199925,0.0,0.0,1.0,38.0,274.0,56.250134887234275,9267,1.0,1.0,1.0,1.0,1.0,1.0,199925,0.0,44.26,0.1
noaa_arctic_seals_full_rgb,aerien,216,44185,14311,90.69141111236846,0.00506,0.00741,0.00923,0.01186,0.017665,0.010251029278177627,14311,0.7113367697511497,0.8608135686662938,0.960728889958036,1.0890362712049586,1.3290973183231074,0.9891418924595331,14311,38.18376618407357,46.20606020859169,51.57518783291051,58.48076606885378,71.3582455954035,53.10962008028637,14311,0.0,0.0,0.0,0.0,2.0,0.32388819735204255,44185,0.4828,0.65,0.9643,1.4872,2.0811,1.1013665012927119,14311,12.996995318286633,1.61,1.04
noaa_arctic_seals_sample,aerien,216,202,718,0.0,0.004472,0.0071925,0.00923,0.011595,0.016836,0.010071866295264624,718,0.6687223925897628,0.8480860421269665,0.960728889958036,1.0768007421164676,1.2975360100318105,0.9778119509304941,718,35.91266397104884,45.54942147531294,51.57518783291051,57.816517097596545,69.6631099723415,52.500802510338296,718,1.0,1.0,2.0,3.0,11.949999999999989,3.5544554455445545,202,0.4783,0.63495,0.93215,1.5526,2.1230149999999997,1.1092435933147633,718,13.509749303621168,2.65,1.25
noaa_estuary_fish,sous-marin,77689,77689,67990,60.89021611811196,0.03787,0.10076,0.19217,0.4303,1.6956424999999993,0.5479939691131049,67990,1.946021582614129,3.1742715699826314,4.383719881561777,6.5597256026887205,13.021683835737056,5.686886886329221,67990,28.02332956156984,45.71028330693215,63.12550989714177,94.46053406783622,187.51223155476893,81.89117119988951,67990,0.0,0.0,0.0,1.0,4.0,0.8751560710010426,77689,0.5281450000000001,1.1135,1.6662499999999998,2.3335,3.3997,1.8110053375496398,67990,40.461832622444476,8.08,24.18
noaa_right_whale_heads,aerien,4544,4544,4547,0.0,,,,,,,0,,,,,,,0,,,,,,,0,1.0,1.0,1.0,1.0,1.0,1.0006602112676057,4544,,,,,,,0,,,
uas_waterfowl_crowd,aerien_non_marin,356,338,2175,0.0,0.37361099999999997,0.50465,0.70995,1.09935,2.119298999999998,0.9338893563218391,2175,6.112372678633384,7.103872141344793,8.425853072538116,10.484987293985608,14.557808484453387,9.17985349683729,2175,36.488463825782965,42.40736939960679,50.299105359837164,62.59152117992194,86.90467767538492,54.80026441611803,2175,1.0,2.0,4.0,8.0,20.0,6.43491124260355,338,0.59246,0.77085,1.0419,1.4395,1.99053,1.1473862068965517,2175,5.747126436781609,1.1,2.62
uas_waterfowl_experts,aerien_non_marin,12,12,2243,0.0,0.00541,0.00726,0.00987,0.016585,0.04009800000000002,0.015249861792242534,2243,0.7355270219373317,0.8520563361656318,0.9934787365615834,1.2878272624397633,2.002447821586199,1.1472668237014767,2243,32.863353450309965,38.07886552931954,44.38749823993238,57.53693136389967,89.46337122469568,51.25889262771902,2243,31.25,73.25,85.0,209.25,566.8999999999999,186.91666666666666,12,0.56162,0.7447,1.0441,1.52395,2.0312,1.1579917521176994,2243,6.5091395452518945,3.25,3.43
whales_from_space_sample,satellite,20,20,20,0.0,3.95062,4.02832,4.56102,9.13086,22.55859,7.640497000000002,20,19.876166632426887,20.070675125665304,21.356544664341186,30.217312918259292,47.495884032197985,26.131176375771922,20,25.69046515733026,26.832815729997478,27.54995462791182,38.67815921162743,60.794736614282655,34.17765551566476,20,1.0,1.0,1.0,1.0,1.0,1.0,20,0.596305,0.674275,0.7505,1.1786,1.25,0.866935,20,5.0,65.0,0.0
